DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
ms	pmid: 21678171	2	25	14
ms	pmid: 21678171	3	38	14
ms	pmid: 22760102	2	10	8
ms	pmid: 22760102	3	25	15
ms	pmid: 22760102	4	29	19
ms	pmid: 23203924	11	27	9
ms	pmid: 23203924	12	29	27
ms	pmid: 22138253	2	17	7
ms	pmid: 22138253	3	14	12
ms	pmid: 22640499	2	18	16
ms	pmid: 22640499	5	36	6
ms	pmid: 22640499	11	24	22
ms	pmid: 22424554	7	38	15
ms	pmid: 23252517	3	56	27
ms	pmid: 22942431	6	41	10
ms	pmid: 22942431	7	43	3
ms	pmid: 23454903	3	27	17
ms	pmid: 21703369	6	22	12
ms	pmid: 24179765	3	45	25
ms	pmid: 22967748	2	12	7
ms	pmid: 22796503	3	24	9
ms	pmid: 22253220	3	13	8
ms	pmid: 22466233	5	25	13
ms	pmid: 23582699	3	19	4
ms	pmid: 23509249	2	11	4
ms	pmid: 23509249	3	20	12
ms	pmid: 21993617	3	14	12
ms	pmid: 22012819	3	24	4
ms	pmid: 22012819	5	26	11
ms	pmid: 23312632	5	24	5
ms	pmid: 22226359	4	28	26
ms	pmid: 23239947	3	32	30
ms	pmid: 21927053	14	18	5
ms	pmid: 22021635	4	20	18
ms	pmid: 22910063	3	20	17
ms	pmid: 22910063	4	28	13
ms	pmid: 22283602	4	17	15
ms	pmid: 23983889	3	26	24
ms	pmid: 23152401	3	35	5
ms	pmid: 22160375	3	20	6
ms	pmid: 23076801	4	28	26
ms	pmid: 23154123	3	20	5
ms	pmid: 23997815	3	26	4
ms	pmid: 22357892	3	30	15
ms	pmid: 22357894	3	32	10
ms	pmid: 23369377	3	27	6
ms	pmid: 23059536	2	18	10
ms	pmid: 23059536	3	78	59
ms	pmid: 23059536	5	29	25
ms	pmid: 22760942	3	17	6
ms	pmid: 22699912	13	27	19
ms	pmid: 21992960	3	27	14
ms	pmid: 23177721	2	14	8
ms	pmid: 21845450	2	12	4
ms	pmid: 21845450	3	20	16
ms	pmid: 23257936	3	13	8
ms	pmid: 22292076	3	22	11
ms	pmid: 23941788	3	47	28
ms	pmid: 23026221	3	24	9
ms	pmid: 23026222	5	48	17
ms	pmid: 21504405	3	36	16
ms	pmid: 22179784	2	19	12
ms	pmid: 22179784	6	9	3
ms	pmid: 22709658	3	15	6
ms	pmid: 22145746	3	28	19
ms	pmid: 20924528	7	25	23
ms	pmid: 21447022	3	15	10
ms	pmid: 21447024	3	32	30
ms	pmid: 21038310	4	23	8
ms	pmid: 22402220	3	15	13
ms	pmid: 23752202	3	32	22
ms	pmid: 23137071	3	17	14
ms	pmid: 22696123	3	30	2
ms	pmid: 22224107	4	19	17
ms	pmid: 23783198	6	23	2
ms	pmid: 22155618	15	35	19
ms	pmid: 22012025	3	25	18
ms	pmid: 22397318	3	36	29
ms	pmid: 22397318	6	38	6
ms	pmid: 21927869	2	18	13
ms	pmid: 21927869	5	42	33
ms	pmid: 21958956	2	19	14
ms	pmid: 22257426	3	19	16
ms	pmid: 22257426	8	7	2
