Class	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	cancer	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor	non-tumor
1553295_at	0.073813334	0.128704965	0.077002943	0.218500987	0.018187525	0.414168328	0.185100898	0.221757695	0.228324905	0.147899315	0.187506616	0.283908963	0.112333089	0.185100898	0.003244389	0.021889489	0.219223186	0.139400885	0.159455478	0.124837384	0.050586566	0.018375173	0.186818451	0.474196017	0.501379311	0.104039744	0.073813334	0.151516125	0.029028418	0.01667178	0.032328814	0.077002943	0.126125395	0.099901766	0.126125395	0.176233381	0.34637183	0.239064485	0.327972353	0.158127472	0.362209171	0.386476606	0.274217367	0.398156852	0.294217527	0.265497744	0.284725428	0.35445109	0.332496166	0.279847264	0.36123094	0.36565268	0.115210898	0.167131066	0.439396203	0.411915332	0.348258197	0.298826396	0.306041926	0.14987047	0.369626343	0.330680788	0.261193693	0.369127363	0.252308309	0.245456979	0.042991553	0.240936965	0.301783621	0.321276009
1553328_a_at	0.035925385	0.131936401	0.258861154	0.16245082	0.188540101	0.204230607	0.126769841	0.018936899	0.01667178	0.167801812	0.270235062	0.184415013	0.123872116	0.103721268	0.079869814	0.029203005	0.097039305	0	0.090681948	0.109459184	0.235709757	0.038635124	0.062596224	0.217419297	0.165456578	0.375158966	0.014552172	0.083688214	0.220670179	0.084006257	0.103562042	0.033189245	0.068377383	0.240187213	0.045647826	0.062274102	0.131289467	0.153824776	0.113291897	0.024063332	0.139075339	0.172512501	0.133231267	0.236453533	0.052222349	0.176233381	0.08750359	0.066132747	0.107864097	0.162784278	0.154155046	0.063883647	0.130966127	0.126447588	0.189229935	0.208122969	0.10053809	0.084324278	0.093065627	0.037621785	0.185100898	0.192689225	0.080824792	0.09640339	0.084006257	0.166795909	0.020790122	0.124193802	0.131289467	0.149212986
1553395_a_at	0.271426409	0.253458798	0.227958128	0.225397125	0.400322199	0.325728536	0.248491257	0.279847264	0.217059165	0.182703108	0.241312221	0.267071903	0.288005412	0.246592849	0.178950742	0.176911816	0.222120643	0.239812732	0.090999767	0.205289841	0.26353687	0.254996657	0.256539017	0.373137712	0.279442966	0.161118299	0.218500987	0.256539017	0.302207649	0.292552859	0.245078892	0.203877911	0.281467825	0.311205864	0.232744396	0.254996657	0.299247682	0.243946165	0.232374802	0.223938674	0.312072396	0.24319233	0.278232098	0.228691906	0.28025189	0.309477896	0.31994921	0.188195437	0.300936729	0.292137623	0.308186293	0.220670179	0.161451235	0.239812732	0.31730774	0.28309387	0.232374802	0.344026238	0.24319233	0.210968718	0.276622266	0.253842831	0.226493329	0.25461176	0.224667445	0.203877911	0.195121005	0.187850937	0.151516125	0.269442379
1553518_at	0.109140083	0.040317051	0.154815927	0.188884929	0.275418341	0.462152362	0.178270489	0.169144943	0.306898445	0.202469036	0.181677863	0.425079554	0.074451663	0.269442379	0.077640302	0.030597787	0.154815927	0.17589438	0.20599696	0.082415842	0.190957442	0.079869814	0.279039025	0.496910483	0.494702578	0.120338008	0.021706272	0.178950742	0.139075339	0.203173101	0.027270475	0.140703961	0.111055344	0.21994625	0.288005412	0.27622062	0.219223186	0.347785771	0.336150825	0.273817688	0.347785771	0.509765029	0.308186293	0.417005688	0.234225139	0.325728536	0.183045164	0.384392828	0.479709506	0.321276009	0.447424501	0.494702578	0.295888156	0.400322199	0.384392828	0.393332571	0.371127218	0.472833633	0.245078892	0.180313066	0.421018332	0.421018332	0.246971995	0.303482115	0.411915332	0.348258197	0.023342185	0.443693936	0.34873116	0.189920425
1553562_at	0.230898827	0.239064485	0.173187718	0.278232098	0.373137712	0.214902759	0.188540101	0.236825779	0.210612297	0.246971995	0.128059626	0.153824776	0.235709757	0.209544256	0.181677863	0.268650979	0.227225274	0.197561443	0.122586057	0.257698804	0.210612297	0.174878284	0.239812732	0.200712174	0.223574623	0.272620618	0.27702421	0.215261638	0.144295484	0.222847193	0.226493329	0.17589438	0.193730369	0.329776049	0.253458798	0.225397125	0.204936579	0.174878284	0.24773109	0.199660271	0.228691906	0.175216839	0.230162248	0.270235062	0.234595925	0.191995993	0.255767286	0.237198278	0.148555934	0.176911816	0.195469096	0.203173101	0.167466372	0.282686859	0.225397125	0.157795772	0.206350803	0.209544256	0.185787424	0.202117294	0.167131066	0.215261638	0.162784278	0.181677863	0.222120643	0.188884929	0.191303462	0.106588736	0.183387384	0.147571176
1553589_a_at	0.244701058	0.221032456	0.191649646	0.125159279	0.254996657	0.28025189	0.319507837	0.254227161	0.150528401	0.213469327	0.178270489	0.150857523	0.216339529	0.251925379	0.234966964	0.277426511	0.180313066	0.244323477	0.120658964	0.248111039	0.091635406	0.17589438	0.435757637	0.290894151	0.391209155	0.204936579	0.208122969	0.201063171	0.215261638	0.229059145	0.245456979	0.203173101	0.226493329	0.20918864	0.172850043	0.422752827	0.294217527	0.310773253	0.491060764	0.283908963	0.223210797	0.367137969	0.370626271	0.353492022	0.275017709	0.328873247	0.222483799	0.335234135	0.269046545	0.400865614	0.272222221	0.364665687	0.320833266	0.51131779	0.30861643	0.201414362	0.403595358	0.456305504	0.329324394	0.361719757	0.305187047	0.440006644	0.281062186	0.410235256	0.427422702	0.363681197	0.249252498	0.137124091	0.377700984	0.231267467
1553604_at	0.066774502	0.096085459	0.038297705	0.1823612	0.060661752	0.462808967	0.041656729	0.084324278	0.323496461	0.097993284	0.191649646	0.329324394	0.125159279	0.225032181	0.125481248	0.080506504	0.276622266	0.144622594	0.023703175	0.09831132	0.145277098	0.101811036	0.073494084	0.52902323	0.502131164	0.123872116	0.242439508	0.226493329	0.037283272	0.139726505	0.04762939	0.283501238	0.051241454	0.110416748	0.252691537	0.275017709	0.414733917	0.314246207	0.351104498	0.209544256	0.388047278	0.415867895	0.347313911	0.396004677	0.202117294	0.26825574	0.366642237	0.380774468	0.367137969	0.338913143	0.359281808	0.424496353	0.106907524	0.129350618	0.472833633	0.440618247	0.375665993	0.30732733	0.28309387	0.188540101	0.431563646	0.393865407	0.368131369	0.256539017	0.249633521	0.264320314	0.133231267	0.352057785	0.314246207	0.162784278
1553605_a_at	0.018936899	0.09354239	0.095767535	0.10053809	0.077321641	0.513663828	0.13614969	0.116491288	0.376173705	0.018936899	0.157795772	0.353013366	0.101811036	0.202469036	0.167466372	0.044321824	0.328422576	0.066132747	0.027975531	0.075408757	0.027975531	0.094178103	0.044321824	0.552562773	0.532375216	0.030771544	0.290894151	0.208478004	0.066132747	0.095767535	0.022435825	0.332041591	0.200361356	0.058884624	0.286362588	0.328873247	0.482505739	0.338913143	0.414168328	0.26197356	0.443076432	0.470801681	0.35879606	0.449306428	0.307756603	0.292552859	0.421018332	0.458242089	0.405243486	0.382320851	0.440006644	0.47351405	0.220670179	0.199660271	0.507452428	0.494702578	0.429191023	0.319507837	0.370125979	0.245078892	0.4860394	0.426249057	0.430968881	0.294217527	0.355894089	0.309909254	0.078596033	0.391209155	0.389098167	0.196863279
1553734_at	0.004110144	0.023342185	0.01277735	0.125481248	0.277426511	0.036944382	0.122907467	0.067415908	0.214544088	0.108502008	0.095131725	0.065490626	0.082415842	0.094813839	0.149212986	0.043989666	0.055805396	0.040149193	0.142988086	0.223210797	0.185787424	0.03111852	0.118413582	0.068377383	0.084006257	0.180654034	0.097357281	0.019681513	0.146587372	0.026916968	0.136799201	0.057751682	0.035244044	0.056616977	0.054504812	0.143641591	0.095767535	0.106269993	0.240936965	0.050586566	0.046474494	0.237944022	0.081779502	0.013570523	0.098947436	0.077640302	0.062596224	0.03421887	0.054179262	0.189920425	0.127414584	0.122907467	0.159123287	0.05189557	0.148555934	0.037621785	0.181336433	0.183387384	0.044985339	0.079869814	0.136799201	0.076365411	0.077321641	0.064205244	0.111374706	0.171837851	0.037621785	0.060661752	0.120658964	0.057103507
1553987_at	0.419292778	0.354931504	0.46811375	0.486751348	0.45119974	0.424496353	0.435757637	0.436965942	0.396541506	0.410235256	0.439396203	0.429191023	0.443693936	0.364173144	0.365158856	0.502131164	0.406899422	0.360742748	0.45119974	0.447424501	0.498392135	0.403047711	0.430375189	0.424496353	0.410794377	0.52407527	0.528191984	0.413603693	0.458242089	0.558112741	0.410794377	0.495436609	0.465449721	0.424496353	0.455662668	0.361719757	0.378722638	0.466778785	0.409677029	0.388047278	0.403047711	0.349678814	0.367634356	0.408563316	0.431563646	0.446176082	0.359281808	0.409119725	0.385954529	0.381804675	0.444312662	0.419292778	0.449306428	0.419866979	0.399237871	0.389098167	0.40414387	0.40414387	0.485329181	0.393865407	0.377191186	0.415867895	0.368629038	0.440006644	0.423914164	0.370626271	0.427422702	0.429782569	0.412477195	0.46811375
