GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
1057	pmid: 23302880	4	38	11
1057	pmid: 23302880	5	45	19
1057	pmid: 23302880	6	22	8
1057	pmid: 23302880	7	32	6
3123	pmid: 23302880	8	25	13
1057	pmid: 23302880	9	30	10
9215	pmid: 23302880	9	30	21
1057	pmid: 23302880	10	35	34
2475	pmid: 22647206	4	13	4
2475	pmid: 22647206	5	28	3
1057	pmid: 22647206	6	51	45
2475	pmid: 22647206	12	27	7
10922	pmid: 22733907	2	20	7
10922	pmid: 22733907	3	36	18
1319	pmid: 22733907	3	36	34
1319	pmid: 22733907	5	37	23
1319	pmid: 22733907	14	15	6
55364	pmid: 22733907	15	18	9
2827	pmid: 22216338	11	23	7
84818	pmid: 22216338	13	22	15
84818	pmid: 22216338	14	37	27
2827	pmid: 22216338	14	37	25
2011	pmid: 22216338	15	5	2
1057	pmid: 22078237	2	18	10
55364	pmid: 21976406	5	29	21
2011	pmid: 21976406	14	6	3
2013	pmid: 23319365	7	7	2
10666	pmid: 23922043	2	14	5
10666	pmid: 23922043	3	19	11
10666	pmid: 23922043	4	18	5
10666	pmid: 23922043	9	31	20
2009	pmid: 23021230	5	42	39
2011	pmid: 23021230	18	7	3
1934	pmid: 22492477	4	45	28
1057	pmid: 22492477	9	22	11
1057	pmid: 22322424	2	12	8
1057	pmid: 22322424	4	25	24
1057	pmid: 22322424	8	28	14
7164	pmid: 23557239	5	29	4
7164	pmid: 23557239	6	42	23
7164	pmid: 23557239	8	31	4
361	pmid: 23746426	3	31	25
361	pmid: 23746426	5	27	8
2013	pmid: 23746426	8	5	3
55364	pmid: 23391123	6	27	15
55364	pmid: 23391123	8	37	8
9215	pmid: 23391123	9	41	15
1057	pmid: 22306614	2	7	3
1319	pmid: 22306614	4	52	16
9215	pmid: 22306614	4	52	29
1057	pmid: 22306614	5	39	18
1319	pmid: 22306614	5	39	10
1057	pmid: 22306614	7	22	4
1057	pmid: 22306614	8	28	23
1057	pmid: 22306614	9	38	16
2012	pmid: 22306614	11	6	3
51311	pmid: 23516559	2	19	4
1319	pmid: 23516559	5	23	20
4615	pmid: 23516559	7	13	7
51311	pmid: 23516559	7	13	4
51311	pmid: 23516559	8	35	25
51311	pmid: 23516559	9	26	25
51311	pmid: 23516559	10	19	16
51311	pmid: 23516559	11	23	17
51311	pmid: 23516559	12	22	8
51311	pmid: 23516559	13	20	10
4280	pmid: 22248039	4	31	3
4280	pmid: 22248039	7	31	11
1057	pmid: 22248039	9	16	4
4280	pmid: 22248039	12	27	20
4280	pmid: 22248039	13	16	6
4280	pmid: 22248039	14	21	11
6772	pmid: 22248039	17	13	9
1319	pmid: 23735284	8	40	25
2013	pmid: 23735284	9	5	3
2013	pmid: 23735283	7	5	3
2013	pmid: 23608690	7	5	3
2013	pmid: 23608694	5	5	3
2012	pmid: 23357161	10	6	3
1319	pmid: 22441536	4	15	14
1319	pmid: 22441536	9	23	20
2012	pmid: 22441536	12	7	3
1057	pmid: 23320797	2	15	10
4280	pmid: 23320797	6	30	12
1057	pmid: 23320797	8	37	10
1057	pmid: 23320797	9	31	29
1319	pmid: 22427288	7	29	17
2619	pmid: 22932001	2	17	16
9215	pmid: 22932001	5	25	12
1995	pmid: 22932001	7	33	25
2009	pmid: 22932001	7	33	27
2619	pmid: 22932001	9	22	5
5949	pmid: 22760102	6	16	2
1057	pmid: 23203924	3	21	13
3558	pmid: 23203924	5	28	22
4280	pmid: 23203924	6	23	17
10538	pmid: 23203924	9	43	4
6774	pmid: 23203924	9	43	25
10538	pmid: 23203924	12	29	17
5978	pmid: 22138253	10	43	42
2011	pmid: 22138253	14	5	3
5978	pmid: 22640499	6	41	26
2012	pmid: 22640499	12	5	3
1319	pmid: 22640498	4	23	11
2012	pmid: 22640498	12	5	3
1057	pmid: 21998709	8	21	20
1057	pmid: 21998709	15	21	15
2012	pmid: 22818791	15	4	3
1319	pmid: 23252517	3	56	21
1319	pmid: 23252517	6	41	22
2012	pmid: 23252517	10	11	10
1057	pmid: 22942431	6	41	22
1057	pmid: 22942431	7	43	34
1057	pmid: 22942431	8	52	10
2011	pmid: 21703369	7	5	3
361	pmid: 22354518	5	25	19
361	pmid: 22354518	6	26	6
361	pmid: 22354518	8	40	20
1057	pmid: 22354518	8	40	8
361	pmid: 22354518	10	27	12
1057	pmid: 22354518	10	27	9
2012	pmid: 22354518	11	6	3
1057	pmid: 22967748	4	25	19
1057	pmid: 22796503	5	12	7
1057	pmid: 22796503	7	27	23
4280	pmid: 22796503	9	29	24
2012	pmid: 22796503	12	5	3
1057	pmid: 22253220	7	19	13
2012	pmid: 22253220	14	6	3
2011	pmid: 21763137	8	5	3
1057	pmid: 22466233	4	22	21
1319	pmid: 22466233	6	16	15
361	pmid: 22466233	7	21	14
361	pmid: 22466233	11	14	7
1319	pmid: 22466233	14	28	20
2013	pmid: 23582699	7	5	3
5978	pmid: 23127247	5	49	47
1000	pmid: 23312632	8	20	13
2013	pmid: 23312632	11	5	3
4280	pmid: 22226359	5	23	14
2012	pmid: 22226359	8	5	3
1057	pmid: 23239947	4	32	25
1057	pmid: 23239947	5	29	3
1948	pmid: 22021635	5	21	8
1057	pmid: 22910063	10	24	4
1319	pmid: 22283602	7	45	24
1319	pmid: 22283602	8	23	20
2012	pmid: 22283602	10	4	2
2012	pmid: 22283602	11	8	5
9215	pmid: 23983889	9	34	14
2010	pmid: 23983889	10	40	4
1057	pmid: 23152401	4	41	26
10541	pmid: 22160375	5	30	17
8741	pmid: 22160375	5	30	17
246778	pmid: 23076801	5	29	13
941	pmid: 23076801	8	28	17
2012	pmid: 23076801	11	7	2
6749	pmid: 23997815	7	44	25
1057	pmid: 23997817	5	45	5
361	pmid: 21900637	4	29	21
361	pmid: 21900637	5	31	4
361	pmid: 21900637	11	34	28
361	pmid: 21900637	13	46	38
5978	pmid: 22357892	9	22	15
5978	pmid: 22357892	12	56	47
9215	pmid: 22277501	3	24	17
6762	pmid: 22357894	9	66	5
6762	pmid: 22357894	10	9	6
1057	pmid: 22358068	2	13	5
1057	pmid: 22358068	3	27	16
9215	pmid: 22358068	8	35	10
2012	pmid: 23059536	8	5	3
1057	pmid: 22699912	8	18	14
4280	pmid: 22699912	8	18	6
1057	pmid: 21992960	2	13	3
1057	pmid: 21992960	4	15	5
1057	pmid: 21992960	6	21	13
1057	pmid: 21992960	7	16	7
1057	pmid: 21992960	8	28	14
2011	pmid: 21992960	9	5	3
1057	pmid: 22763625	6	36	15
2670	pmid: 22763625	10	27	2
2670	pmid: 22763625	12	16	5
51561	pmid: 23177721	6	21	12
2012	pmid: 23177721	9	5	3
1319	pmid: 21996274	2	18	16
1057	pmid: 21996274	5	33	13
1319	pmid: 21996274	5	33	29
1319	pmid: 21996274	7	41	27
1057	pmid: 21996274	10	27	20
2011	pmid: 21996274	11	5	3
1319	pmid: 21996270	7	18	7
1319	pmid: 21996270	12	28	7
2011	pmid: 21996270	16	5	3
10541	pmid: 21845450	3	20	2
2011	pmid: 21845450	3	20	3
8741	pmid: 21845450	3	20	2
2012	pmid: 23257936	11	7	3
1057	pmid: 22292076	10	57	19
1319	pmid: 23941788	3	47	32
55364	pmid: 23941788	6	21	2
1319	pmid: 23941788	12	19	13
2012	pmid: 23026221	10	5	3
1057	pmid: 23026222	7	46	13
1057	pmid: 23026222	8	32	11
1057	pmid: 23026222	9	39	18
4280	pmid: 23026222	10	35	19
2012	pmid: 23026222	11	5	3
1319	pmid: 22179784	2	19	6
1319	pmid: 22179784	3	26	13
1319	pmid: 22179784	9	32	21
1319	pmid: 22179784	10	38	25
1319	pmid: 22179784	11	56	36
1319	pmid: 22179784	12	34	8
55364	pmid: 22200387	2	14	5
55364	pmid: 22200387	3	24	4
2012	pmid: 22200387	16	8	3
706	pmid: 22776451	7	30	28
1934	pmid: 22776451	12	27	10
706	pmid: 22776451	17	23	16
2012	pmid: 22776451	20	5	3
