GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
1057	pmid: 22320450	6	24	20
1057	pmid: 22320450	8	9	4
2012	pmid: 22320450	16	5	2
94025	pmid: 22320398	2	15	3
94025	pmid: 22320398	6	46	29
94025	pmid: 22320398	7	33	24
1057	pmid: 22320398	8	26	25
94025	pmid: 22320398	8	26	11
94025	pmid: 22320398	10	19	8
9215	pmid: 22319744	5	17	4
7852	pmid: 22319600	2	15	11
7852	pmid: 22319600	4	38	28
6387	pmid: 22319600	4	38	13
1057	pmid: 22319600	5	40	19
7852	pmid: 22319600	5	40	9
1057	pmid: 22319600	7	20	19
7852	pmid: 22319600	10	23	18
2001	pmid: 22318898	8	29	15
2010	pmid: 22317883	7	15	12
1057	pmid: 22316327	2	17	3
1057	pmid: 22316327	3	31	6
1057	pmid: 22315049	3	26	11
9215	pmid: 22315049	7	39	18
1057	pmid: 22314265	2	20	19
1057	pmid: 22314265	4	26	13
1057	pmid: 22314265	5	35	7
596	pmid: 22314265	11	38	12
1215	pmid: 22313544	6	23	6
1057	pmid: 22313544	7	20	13
4280	pmid: 22313312	9	48	37
208	pmid: 22312312	2	19	3
208	pmid: 22312312	4	33	8
1057	pmid: 22312312	5	18	13
208	pmid: 22312312	7	24	23
208	pmid: 22312312	8	22	3
208	pmid: 22312312	12	22	8
208	pmid: 22312312	13	37	10
1999	pmid: 22311829	4	24	12
2012	pmid: 22311829	21	6	3
1993	pmid: 22311282	5	26	20
2005	pmid: 22311282	5	26	24
1057	pmid: 22311263	2	21	13
1057	pmid: 22311263	3	26	10
1057	pmid: 22311263	4	26	13
4089	pmid: 22311263	7	26	25
4089	pmid: 22311263	8	43	38
2009	pmid: 22311120	5	14	12
1992	pmid: 22311120	5	14	10
3845	pmid: 22310974	2	16	12
1956	pmid: 22310974	3	15	10
3845	pmid: 22310974	4	31	17
3845	pmid: 22310974	6	43	35
3845	pmid: 22310974	7	33	20
2475	pmid: 22310917	8	25	9
1999	pmid: 22307919	6	19	8
2012	pmid: 22307919	14	4	2
1057	pmid: 22306705	2	12	5
1057	pmid: 22306705	7	30	16
11335	pmid: 22306681	6	106	25
79071	pmid: 22306681	24	41	5
2178	pmid: 22306681	24	41	5
1057	pmid: 22306681	34	36	14
1057	pmid: 22306681	35	32	16
1057	pmid: 22306681	38	53	41
1057	pmid: 22306681	39	49	47
1057	pmid: 22306681	41	38	21
1057	pmid: 22306681	42	36	18
1057	pmid: 22306681	43	18	6
1057	pmid: 22306681	47	54	19
9215	pmid: 22306681	48	36	16
1523	pmid: 22306263	3	22	7
9215	pmid: 22306263	3	22	12
1523	pmid: 22306263	4	30	5
1523	pmid: 22306263	5	10	5
1057	pmid: 22306263	5	10	9
1523	pmid: 22306263	6	20	6
1057	pmid: 22306263	6	20	17
1523	pmid: 22306263	7	21	16
1523	pmid: 22306263	8	17	10
1057	pmid: 22306263	8	17	16
1523	pmid: 22306263	9	21	6
1057	pmid: 22306263	9	21	13
1523	pmid: 22306263	10	30	22
1523	pmid: 22306263	11	16	10
1523	pmid: 22306263	13	36	5
1523	pmid: 22306263	14	36	27
1057	pmid: 22306154	6	40	39
1057	pmid: 22306154	7	24	20
347527	pmid: 22304734	4	19	6
1057	pmid: 22304734	9	37	36
23213	pmid: 22304734	10	40	18
2012	pmid: 22304734	11	7	2
2009	pmid: 22302349	9	11	8
1057	pmid: 22301921	4	28	9
2735	pmid: 22301921	6	31	10
595	pmid: 22301921	6	31	24
596	pmid: 22301921	11	45	17
2735	pmid: 22301921	11	45	35
595	pmid: 22301921	11	45	15
596	pmid: 22301921	12	15	11
595	pmid: 22301921	12	15	9
2735	pmid: 22301921	13	16	14
1057	pmid: 22301921	14	19	7
1999	pmid: 22301497	5	39	36
1999	pmid: 22301496	5	26	23
9215	pmid: 22301400	6	17	5
1786	pmid: 22301400	11	13	6
1788	pmid: 22301400	12	22	7
1789	pmid: 22301400	12	22	9
1789	pmid: 22301400	14	19	8
2944	pmid: 22301281	10	46	19
1057	pmid: 22300387	9	39	10
140	pmid: 22300387	10	14	6
140	pmid: 22300387	11	26	3
140	pmid: 22300387	12	38	8
1057	pmid: 22298506	9	17	4
2012	pmid: 22298506	14	5	2
1057	pmid: 22297233	4	13	11
1057	pmid: 22297233	5	39	22
1057	pmid: 22296619	12	30	22
1057	pmid: 22295108	2	19	9
1057	pmid: 22295108	3	53	47
1057	pmid: 22295108	4	27	23
1057	pmid: 22295108	8	51	31
1057	pmid: 22294829	3	17	16
4280	pmid: 22294829	5	23	11
1057	pmid: 22294829	14	35	15
1057	pmid: 22294553	2	17	11
1057	pmid: 22294553	5	18	15
1057	pmid: 22294553	7	26	24
1956	pmid: 22294553	7	26	12
7852	pmid: 22294553	8	35	11
9965	pmid: 22294553	8	35	13
1956	pmid: 22294553	9	40	4
