GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
9215	pmid: 22025277	9	31	9
6622	pmid: 22025277	9	31	24
23400	pmid: 22022275	2	22	9
10273	pmid: 22022275	5	31	17
23400	pmid: 22022275	7	45	44
23400	pmid: 22022275	8	19	5
23400	pmid: 22022275	9	11	7
9215	pmid: 22020457	5	32	15
10922	pmid: 22019648	2	15	5
10922	pmid: 22019648	3	29	11
10922	pmid: 22019648	4	31	30
10922	pmid: 22019648	9	29	6
1057	pmid: 22016808	12	47	17
55364	pmid: 22013567	5	14	5
11315	pmid: 22013209	9	36	34
120892	pmid: 22013209	11	27	26
1057	pmid: 22011618	8	19	4
1057	pmid: 22009151	4	28	27
1057	pmid: 22009151	8	27	14
6749	pmid: 22005945	4	27	20
120892	pmid: 22004453	2	17	15
120892	pmid: 22004453	5	28	24
120892	pmid: 22004453	7	29	27
120892	pmid: 22004453	12	26	9
1057	pmid: 22003392	4	22	21
57695	pmid: 22003392	9	42	21
7903	pmid: 22003392	10	14	4
1057	pmid: 22000081	4	65	54
55364	pmid: 21995451	2	13	2
55364	pmid: 21995451	11	23	12
4405	pmid: 21994149	13	11	8
1644	pmid: 21994149	14	15	10
2413	pmid: 21994149	14	15	5
2011	pmid: 21994149	19	5	2
55364	pmid: 21993592	7	38	16
55997	pmid: 21990005	12	43	13
55364	pmid: 21989388	3	29	25
1057	pmid: 21986423	3	28	5
1057	pmid: 21986423	6	31	10
1057	pmid: 21983723	2	28	21
1057	pmid: 21983723	3	32	25
1057	pmid: 21983723	8	17	5
1057	pmid: 21983723	16	38	17
83636	pmid: 21981780	9	29	16
5978	pmid: 21978795	4	19	16
55364	pmid: 21971352	9	30	15
55364	pmid: 21967281	2	20	11
2068	pmid: 21967281	7	21	9
2149	pmid: 21967281	7	21	2
79071	pmid: 21967281	12	20	10
2178	pmid: 21967281	12	20	10
55364	pmid: 21966751	7	22	12
9215	pmid: 21963735	3	31	17
9215	pmid: 21961647	3	29	7
120892	pmid: 21961647	4	28	13
