DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
als	pmid: 22953735	3	17	13
als	pmid: 22156608	3	28	25
als	pmid: 22353756	3	40	30
als	pmid: 22216152	4	28	20
als	pmid: 22419278	2	9	3
als	pmid: 22419278	3	13	8
als	pmid: 22419278	7	44	15
als	pmid: 22419278	15	35	25
als	pmid: 22890612	2	12	7
als	pmid: 23467416	3	30	2
als	pmid: 21838886	16	25	18
als	pmid: 22445326	3	35	23
als	pmid: 22688111	2	15	9
als	pmid: 22688111	3	25	14
als	pmid: 22410787	3	28	9
als	pmid: 23259505	3	29	16
als	pmid: 22775117	2	20	6
als	pmid: 22775117	3	13	10
als	pmid: 22863194	8	50	43
als	pmid: 23506861	6	22	17
als	pmid: 22944662	5	25	19
als	pmid: 23453347	2	16	5
als	pmid: 23453347	3	31	11
als	pmid: 23453347	5	27	5
als	pmid: 23281025	3	28	14
als	pmid: 21764635	3	15	12
als	pmid: 21937428	3	26	23
als	pmid: 23616585	4	31	10
als	pmid: 23616585	13	63	18
als	pmid: 23616585	16	29	13
als	pmid: 22190368	3	22	19
als	pmid: 22190368	5	30	18
als	pmid: 22903028	6	37	30
als	pmid: 22220157	2	13	5
als	pmid: 22220157	3	29	14
als	pmid: 22234492	2	16	3
als	pmid: 22234492	6	28	25
als	pmid: 22152722	2	24	12
als	pmid: 22152722	3	31	12
als	pmid: 22152722	5	25	16
als	pmid: 22152722	6	37	8
als	pmid: 21678031	3	27	24
als	pmid: 21836033	3	22	16
als	pmid: 22849988	6	17	4
als	pmid: 23921753	8	31	8
als	pmid: 22951705	5	36	25
als	pmid: 23418589	5	29	11
als	pmid: 22354563	2	16	12
als	pmid: 22354563	3	20	17
als	pmid: 21933185	3	34	18
als	pmid: 21783422	3	46	12
als	pmid: 22277520	3	19	8
als	pmid: 22611258	4	16	13
als	pmid: 22459602	2	15	8
als	pmid: 22459602	3	27	13
als	pmid: 22455595	3	24	15
als	pmid: 23418210	3	30	15
als	pmid: 22666317	2	15	5
als	pmid: 23152212	3	27	15
als	pmid: 23152212	8	53	9
als	pmid: 21921087	4	20	5
als	pmid: 22277481	2	12	7
als	pmid: 22277481	3	32	3
als	pmid: 23461249	2	11	6
als	pmid: 23461249	5	37	18
als	pmid: 22300876	3	17	9
als	pmid: 22300876	11	32	27
als	pmid: 23147607	5	22	6
als	pmid: 22378146	4	15	12
als	pmid: 22997874	4	18	8
als	pmid: 23383400	3	27	3
als	pmid: 22773541	3	28	10
als	pmid: 22773541	12	60	51
als	pmid: 22116045	3	25	9
als	pmid: 22677356	3	20	12
als	pmid: 23577159	2	10	6
als	pmid: 23389473	3	32	20
als	pmid: 22167414	7	64	30
als	pmid: 23143995	2	9	4
als	pmid: 23143995	3	14	2
als	pmid: 22426854	3	22	14
als	pmid: 22555651	4	38	26
als	pmid: 22321369	4	13	6
als	pmid: 21913867	3	29	26
als	pmid: 23162510	3	39	2
als	pmid: 23318296	3	29	23
als	pmid: 23075763	11	22	15
als	pmid: 22415951	2	18	11
als	pmid: 22415951	3	36	32
als	pmid: 23338750	3	35	9
als	pmid: 22523565	2	16	9
als	pmid: 22523565	3	20	17
als	pmid: 22957047	5	39	31
als	pmid: 22001604	3	21	13
als	pmid: 22088212	2	17	14
als	pmid: 22088212	3	25	11
als	pmid: 23303748	4	28	6
als	pmid: 23422695	3	18	11
als	pmid: 23734113	2	11	5
als	pmid: 22150063	4	12	9
als	pmid: 23637551	17	29	15
als	pmid: 22527240	3	30	12
als	pmid: 22797895	4	26	23
als	pmid: 22384217	3	19	16
als	pmid: 21895509	2	11	6
als	pmid: 22013888	5	27	24
als	pmid: 22029574	3	32	29
als	pmid: 23136129	5	12	9
als	pmid: 23742895	3	32	29
als	pmid: 22732899	3	32	9
als	pmid: 22445064	10	37	22
als	pmid: 22778949	5	24	21
als	pmid: 22445063	14	31	15
als	pmid: 22964832	3	26	12
als	pmid: 23229103	3	22	7
als	pmid: 22248478	3	30	11
als	pmid: 22047141	8	62	53
als	pmid: 23231972	3	25	16
als	pmid: 23231971	3	27	14
als	pmid: 23231971	6	18	11
als	pmid: 22749050	3	20	13
als	pmid: 22749050	4	29	26
als	pmid: 23010029	3	19	16
als	pmid: 22985429	3	21	16
als	pmid: 22985429	4	15	2
als	pmid: 23148231	6	14	9
als	pmid: 22410533	3	48	41
als	pmid: 22015310	3	17	14
als	pmid: 22402721	3	20	8
als	pmid: 23373475	6	25	4
als	pmid: 23286754	5	20	2
als	pmid: 21893207	3	32	5
als	pmid: 22049684	3	31	23
als	pmid: 23090035	4	18	11
als	pmid: 22198567	3	33	17
als	pmid: 21989245	3	33	2
als	pmid: 23589615	3	18	15
als	pmid: 22530473	3	24	18
als	pmid: 22530473	9	33	21
als	pmid: 22234310	3	29	25
als	pmid: 23108236	8	28	17
als	pmid: 23137736	3	16	9
als	pmid: 23137738	6	17	5
als	pmid: 22454507	2	15	7
als	pmid: 22454507	3	25	22
als	pmid: 22069488	3	25	22
als	pmid: 22580736	6	22	5
als	pmid: 22410647	4	25	15
als	pmid: 22608240	3	33	30
als	pmid: 21811811	3	46	22
als	pmid: 23884045	3	26	20
als	pmid: 21978082	4	54	39
als	pmid: 22708870	2	15	7
als	pmid: 22708870	3	25	11
als	pmid: 22708871	3	35	16
als	pmid: 22708872	3	16	12
als	pmid: 21914052	2	17	8
als	pmid: 21914052	3	15	10
als	pmid: 23457444	3	34	16
als	pmid: 21621298	3	18	8
als	pmid: 22048794	3	17	14
als	pmid: 23626653	2	13	7
als	pmid: 21866427	7	17	14
als	pmid: 23069673	5	32	24
als	pmid: 23463272	3	41	12
als	pmid: 22210350	3	15	12
als	pmid: 23853506	3	25	9
als	pmid: 22277411	3	30	26
als	pmid: 22668777	3	41	23
als	pmid: 23626651	3	20	14
als	pmid: 22632444	3	16	4
als	pmid: 22632442	3	19	16
als	pmid: 22632441	3	24	8
als	pmid: 24093046	4	25	22
als	pmid: 23286748	2	12	2
als	pmid: 23286748	3	15	12
als	pmid: 22013437	7	26	23
als	pmid: 23772376	5	19	12
als	pmid: 21972798	3	23	16
als	pmid: 22491191	7	33	26
als	pmid: 22538313	4	30	7
als	pmid: 22934166	2	27	15
als	pmid: 22934166	4	12	4
als	pmid: 23771489	3	19	11
als	pmid: 22722621	2	13	4
als	pmid: 22722621	3	28	12
als	pmid: 22415942	4	26	23
als	pmid: 22001453	2	15	7
als	pmid: 22001453	6	12	5
als	pmid: 22457769	4	37	14
als	pmid: 22342397	2	10	4
als	pmid: 22342397	3	32	8
als	pmid: 22342395	4	35	32
als	pmid: 23424178	4	16	7
als	pmid: 22187232	2	16	13
als	pmid: 22187232	3	26	17
als	pmid: 22133678	2	22	16
als	pmid: 22133678	3	25	17
als	pmid: 21906595	3	16	6
als	pmid: 22507827	3	19	16
als	pmid: 23325907	3	34	22
als	pmid: 22196509	2	21	8
als	pmid: 22755265	3	34	5
als	pmid: 22155983	6	26	16
als	pmid: 23053135	3	26	15
als	pmid: 23053136	3	31	23
als	pmid: 22143516	5	40	26
als	pmid: 22961186	5	51	23
als	pmid: 22464355	3	25	7
als	pmid: 22606355	2	18	14
als	pmid: 22125525	3	26	14
als	pmid: 21646421	3	33	20
als	pmid: 22728481	3	20	17
als	pmid: 23155438	3	22	6
als	pmid: 22840558	3	26	23
als	pmid: 22283411	3	24	11
als	pmid: 21470190	3	27	16
als	pmid: 23398327	3	19	13
als	pmid: 21777015	2	19	10
als	pmid: 21777015	3	52	41
als	pmid: 23689920	14	31	14
